MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
3388	1926-12-17 00:00:00	2999-12-15 00:00:00
3390	2010-07-12 00:00:00	2015-07-11 00:00:00
3391	2009-09-21 00:00:00	2009-09-27 00:00:00
3397	1932-05-26 00:00:00	2999-12-25 00:00:00
3408	2016-04-04 00:00:00	2016-04-19 00:00:00
3410	1998-01-24 00:00:00	1999-01-23 00:00:00
3412	2016-04-22 00:00:00	2016-04-29 00:00:00
3412	2017-05-08 00:00:00	2017-08-13 00:00:00
3413	1999-04-17 00:00:00	2000-04-02 00:00:00
3413	2002-02-08 00:00:00	2003-02-26 00:00:00
3431	1921-03-27 00:00:00	1921-06-25 00:00:00
3442	2008-08-21 00:00:00	2008-08-27 00:00:00
3443	1995-09-04 00:00:00	1998-04-02 00:00:00
3453	1922-07-15 00:00:00	3000-01-14 00:00:00
3470	1919-04-25 00:00:00	2999-12-25 00:00:00
3473	1933-04-02 00:00:00	1934-06-01 00:00:00
3476	2013-05-31 00:00:00	2013-06-06 00:00:00
3490	1935-06-16 00:00:00	1937-06-15 00:00:00
3490	2005-09-08 00:00:00	2007-04-18 00:00:00
3499	2005-01-05 00:00:00	2005-04-25 00:00:00
3510	2001-07-20 00:00:00	2001-07-26 00:00:00
3528	1998-11-20 00:00:00	1999-04-20 00:00:00
3537	2010-03-16 00:00:00	2010-07-28 00:00:00
3540	1921-07-12 00:00:00	3000-01-11 00:00:00
3545	1922-07-04 00:00:00	1925-07-04 00:00:00
3550	2010-04-03 00:00:00	2015-04-02 00:00:00
3570	2020-05-11 00:00:00	2021-05-10 00:00:00
3581	1931-05-20 00:00:00	2999-12-19 00:00:00
3599	1992-07-14 00:00:00	1993-07-17 00:00:00
3600	1946-06-04 00:00:00	1956-06-02 00:00:00
3604	1933-06-24 00:00:00	1937-12-30 00:00:00
3609	1931-12-02 00:00:00	2999-12-31 00:00:00
3611	1933-03-21 00:00:00	1933-04-09 00:00:00
3613	1924-09-03 00:00:00	3000-01-02 00:00:00
3617	2016-04-29 00:00:00	2016-05-05 00:00:00
3617	2017-01-24 00:00:00	2017-01-30 00:00:00
3617	2020-08-09 00:00:00	2020-08-15 00:00:00
3619	1932-09-08 00:00:00	3000-01-06 00:00:00
3621	2016-07-04 00:00:00	3000-01-02 00:00:00
3629	1935-12-15 00:00:00	1947-03-21 00:00:00
3644	1934-04-13 00:00:00	1938-01-18 00:00:00
3648	1991-03-12 00:00:00	1991-08-03 00:00:00
3675	1925-06-29 00:00:00	2999-12-29 00:00:00
3678	2018-07-30 00:00:00	2020-02-01 00:00:00
3679	2019-08-03 00:00:00	2020-06-22 00:00:00
3688	2016-04-05 00:00:00	2017-01-22 00:00:00
3693	2015-11-14 00:00:00	2016-08-12 00:00:00
3715	1998-11-02 00:00:00	1999-10-23 00:00:00
3719	2008-12-03 00:00:00	2009-12-08 00:00:00
3720	1998-11-02 00:00:00	1999-11-01 00:00:00
3736	1923-08-27 00:00:00	1924-08-27 00:00:00
3739	2001-03-19 00:00:00	2002-03-18 00:00:00
3762	2015-12-28 00:00:00	2016-01-03 00:00:00
3762	2018-05-11 00:00:00	2018-05-18 00:00:00
3765	1988-02-09 00:00:00	1988-12-31 00:00:00
3773	1930-11-22 00:00:00	2999-12-21 00:00:00
3788	1930-10-01 00:00:00	2999-12-30 00:00:00
